XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
385075.73365726,6539826.51330567,1,2,1,1948.391139281
383190.16273194,6540024.90846975,2,1,1,1948.391139281
385198.37712762,6540139.73081369,3,4,2,65.7766578758294
385150.30910656,6540184.63108177,4,3,2,65.7766578758294
352644.62642724,6542442.19208387,5,6,3,44.7337285003874
352689.28281953,6542444.82135994,6,5,3,44.7337285003874
385015.33350399,6542274.46833239,7,8,4,838.150380892796
385634.74270226,6542829.81806262,8,7,4,838.150380892796
362210.51533590,6542909.30072749,9,10,5,580.241072138003
361970.07119992,6542381.22859844,10,9,5,580.241072138003
382799.60112385,6543595.74536441,11,12,6,2960.0871736823
382799.60112385,6543595.74536441,11,13,7,5664.80199358038
382799.60112385,6543595.74536441,11,22,11,1165.55470092132
385746.40563451,6543536.76473274,12,11,6,2960.0871736823
377254.91882081,6543683.39760649,13,11,7,5664.80199358038
386169.83751002,6544260.03919850,15,16,8,339.648785992732
386169.83751002,6544260.03919850,15,18,10,2640.71416156445
386169.83751002,6544260.03919850,15,40,20,2468.83944066315
386067.89406634,6543936.05026023,16,15,8,339.648785992732
383299.97764285,6544156.25786823,17,18,9,432.43193229759
383549.29330214,6544507.65506996,18,17,9,432.43193229759
383549.29330214,6544507.65506996,18,15,10,2640.71416156445
383549.29330214,6544507.65506996,18,23,12,477.49626703204
383091.32611896,6544645.94741954,22,11,11,1165.55470092132
383158.02334181,6544678.62222420,23,18,12,477.49626703204
377316.75677715,6545455.37907377,25,26,13,83.4860391918255
377373.94845479,6545516.19028057,26,25,13,83.4860391918255
377373.94845479,6545516.19028057,26,28,14,406.198269129285
377373.94845479,6545516.19028057,26,30,15,218.377860114404
377676.02692620,6545617.98940120,28,26,14,406.198269129285
377521.27397588,6545677.38606409,30,26,15,218.377860114404
377521.27397588,6545677.38606409,30,516,258,3364.4081541942
358429.00297492,6545697.65357261,31,32,16,194.429090365968
358429.00297492,6545697.65357261,31,419,210,5683.40196768132
358458.00163069,6545508.24495603,32,31,16,194.429090365968
399771.36603270,6541521.26359986,33,34,17,8062.19342153462
406374.79192576,6546070.92444940,34,33,17,8062.19342153462
406374.79192576,6546070.92444940,34,36,18,4019.02808021517
406374.79192576,6546070.92444940,34,38,19,237.875154539749
406374.79192576,6546070.92444940,34,3915,1958,15537.1103964503
405666.12787348,6542126.35703671,36,34,18,4019.02808021517
406557.60301510,6546223.12397226,38,34,19,237.875154539749
386439.01995988,6546558.53686329,40,15,20,2468.83944066315
386439.01995988,6546558.53686329,40,1370,685,4158.71236652932
349918.26322442,6546692.14916627,41,42,21,948.381971987317
350850.75009311,6546681.28922102,42,41,21,948.381971987317
350850.75009311,6546681.28922102,42,54,27,1259.32655797591
352941.05472000,6546947.57324498,43,44,22,149.969655239638
